nameWithOwner,stargazerCount,forkCount,url,createdAt,releaseCount
Snailclimb/JavaGuide,148841,45770,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,
krahets/hello-algo,110906,13820,https://github.com/krahets/hello-algo,2022-11-04T11:08:34Z,
iluwatar/java-design-patterns,91038,26851,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,
macrozheng/mall,79613,29114,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,
doocs/advanced-java,77283,19167,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,
spring-projects/spring-boot,76533,41000,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,
MisterBooo/LeetCodeAnimation,75780,13980,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,
elastic/elasticsearch,72076,25104,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,
kdn251/interviews,64030,12916,https://github.com/kdn251/interviews,2017-02-14T18:19:25Z,
TheAlgorithms/Java,61150,19813,https://github.com/TheAlgorithms/Java,2016-07-16T10:21:02Z,
spring-projects/spring-framework,57612,38394,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,
NationalSecurityAgency/ghidra,55612,6232,https://github.com/NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,
Stirling-Tools/Stirling-PDF,54713,4543,https://github.com/Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,
google/guava,50603,10963,https://github.com/google/guava,2014-05-29T16:23:17Z,
ReactiveX/RxJava,48054,7607,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,
skylot/jadx,43263,5011,https://github.com/skylot/jadx,2013-03-18T17:08:21Z,
dbeaver/dbeaver,42371,3603,https://github.com/dbeaver/dbeaver,2015-10-21T08:26:28Z,
jeecgboot/JeecgBoot,41976,15181,https://github.com/jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,
apache/dubbo,40840,26500,https://github.com/apache/dubbo,2012-06-19T07:56:02Z,
termux/termux-app,39958,4289,https://github.com/termux/termux-app,2015-10-23T09:42:46Z,
PhilJay/MPAndroidChart,37875,9037,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,
eugenp/tutorials,37101,54394,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,
alibaba/arthas,36084,7538,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,
geekxh/hello-algorithm,35527,6470,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,
airbnb/lottie-android,35251,5437,https://github.com/airbnb/lottie-android,2016-10-06T22:42:42Z,
halo-dev/halo,35039,9842,https://github.com/halo-dev/halo,2018-03-21T12:56:52Z,
bumptech/glide,34819,6148,https://github.com/bumptech/glide,2013-07-08T22:52:33Z,
netty/netty,33904,16036,https://github.com/netty/netty,2010-11-09T09:22:21Z,
xkcoding/spring-boot-demo,33514,10953,https://github.com/xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,
Blankj/AndroidUtilCode,33504,10710,https://github.com/Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,
doocs/leetcode,33376,8784,https://github.com/doocs/leetcode,2018-09-16T14:03:03Z,
TeamNewPipe/NewPipe,33294,3155,https://github.com/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,
alibaba/easyexcel,33234,7617,https://github.com/alibaba/easyexcel,2018-02-06T03:14:08Z,
zxing/zxing,33169,9384,https://github.com/zxing/zxing,2011-10-12T14:07:27Z,
SeleniumHQ/selenium,31929,8369,https://github.com/SeleniumHQ/selenium,2013-01-14T21:40:56Z,
alibaba/nacos,31016,12966,https://github.com/alibaba/nacos,2018-06-15T06:49:27Z,
binarywang/WxJava,30769,8807,https://github.com/binarywang/WxJava,2016-01-06T08:24:05Z,
ityouknow/spring-boot-examples,30409,12340,https://github.com/ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,
YunaiV/ruoyi-vue-pro,29866,6443,https://github.com/YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,
apache/kafka,29724,14247,https://github.com/apache/kafka,2011-08-15T18:06:16Z,
chinabugotech/hutool,29646,7568,https://github.com/chinabugotech/hutool,2014-04-13T07:23:51Z,
apolloconfig/apollo,29386,10225,https://github.com/apolloconfig/apollo,2016-03-04T10:24:23Z,
alibaba/canal,28914,7648,https://github.com/alibaba/canal,2013-01-13T10:59:52Z,
wuyouzhuguli/SpringAll,28682,8183,https://github.com/wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,
xuxueli/xxl-job,28480,11115,https://github.com/xuxueli/xxl-job,2015-11-28T12:59:34Z,
alibaba/spring-cloud-alibaba,28320,8385,https://github.com/alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,
alibaba/druid,28091,8595,https://github.com/alibaba/druid,2011-11-03T05:12:51Z,
lenve/vhr,27668,10303,https://github.com/lenve/vhr,2018-01-04T08:57:51Z,
crossoverJie/JCSprout,27110,7075,https://github.com/crossoverJie/JCSprout,2017-12-17T09:06:50Z,
qiurunze123/miaosha,26283,6618,https://github.com/qiurunze123/miaosha,2018-09-14T04:36:24Z,
keycloak/keycloak,26112,7156,https://github.com/keycloak/keycloak,2013-07-02T13:38:51Z,
DrKLO/Telegram,25927,8302,https://github.com/DrKLO/Telegram,2013-10-25T14:08:10Z,
alibaba/fastjson,25774,6490,https://github.com/alibaba/fastjson,2011-11-03T06:58:52Z,
apache/incubator-seata,25553,8805,https://github.com/apache/incubator-seata,2018-12-28T08:37:22Z,
JakeWharton/butterknife,25528,4597,https://github.com/JakeWharton/butterknife,2013-03-05T08:18:59Z,
hollischuang/toBeTopJavaer,25420,5452,https://github.com/hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,
scwang90/SmartRefreshLayout,25059,4968,https://github.com/scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,
proxyee-down-org/proxyee-down,24901,4426,https://github.com/proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,
greenrobot/EventBus,24741,4672,https://github.com/greenrobot/EventBus,2012-07-16T16:55:40Z,
apache/flink,24652,13466,https://github.com/apache/flink,2014-06-07T07:00:10Z,
Netflix/Hystrix,24277,4729,https://github.com/Netflix/Hystrix,2012-11-19T20:14:46Z,
apache/skywalking,24164,6564,https://github.com/apache/skywalking,2015-11-07T03:30:36Z,
libgdx/libgdx,23843,6476,https://github.com/libgdx/libgdx,2012-08-10T19:34:38Z,
bazelbuild/bazel,23809,4157,https://github.com/bazelbuild/bazel,2014-06-12T16:00:38Z,
jenkinsci/jenkins,23772,9006,https://github.com/jenkinsci/jenkins,2010-11-22T21:21:23Z,
redisson/redisson,23687,5422,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,
google/gson,23630,4312,https://github.com/google/gson,2015-03-19T18:21:20Z,
Anuken/Mindustry,23496,3046,https://github.com/Anuken/Mindustry,2017-04-30T01:24:29Z,
OpenAPITools/openapi-generator,23178,6822,https://github.com/OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,
alibaba/Sentinel,22633,8070,https://github.com/alibaba/Sentinel,2018-04-04T06:37:33Z,
doocs/source-code-hunter,22565,4172,https://github.com/doocs/source-code-hunter,2019-10-28T01:35:10Z,
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22250,773,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,
yuliskov/SmartTube,21906,1178,https://github.com/yuliskov/SmartTube,2020-07-28T12:53:52Z,
google/ExoPlayer,21806,6036,https://github.com/google/ExoPlayer,2014-06-13T21:19:18Z,
ashishps1/awesome-system-design-resources,21734,5200,https://github.com/ashishps1/awesome-system-design-resources,2023-10-25T01:50:42Z,
